NR_index,sentence,TSR_index
,"Arnold Alois Schwarzenegger (born July 30, 1947 in Thal, Styria, Austria) is an Austrian-American actor, Republican politician, and bodybuilder, currently serving as the 38th Governor of California.",33.0
,"Around the time of Nirvana's 1992 performance on Saturday Night Live, Love discovered that she was pregnant with Cobain's child (Frances Bean Cobain).",245.0
,"As he once joked, he was the youngest ex-governor in the nation's history.",6.0
100.0,"As their desire for wealth grows, they discard spiritual and creative values.",
,"At Harvard, Roosevelt did well in science, philosophy, and rhetoric but fared poorly in classical languages.",142.0
222.0,"At an early age, he was profoundly marked by the death of his elder brother Gérard, later prompting him to write the book Visions of Gerard.",
220.0,"At home, he and his family spoke Quebec French.",
93.0,At one point when a newscaster was conducting a conversation with both of them he asked Dole if he had anything to say to Bush.,
,"At seventeen he commenced regular medical studies at Charing Cross Hospital, where he had obtained a scholarship, but was kicked out because he had gotten a numberous amount of newly hired nurses pregnant.",50.0
185.0,"At the academy, he established a reputation as a fearless and expert horseman.",20.0
,"At the age of 21, she married William Hutchinson.",141.0
246.0,At the end of the war he was a captain on General Douglas MacArthur's intelligence staff.,
262.0,"At the time, it was not possible for the authorities in each area to link the two convictions which would have resulted in the second offence being viewed much more seriously.",
339.0,"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.",
,"August Schleicher (February 19, 1821 - December 6, 1868) was a German linguist.",172.0
,"August Schleicher (February 19, 1821 - December 6, 1868) was a German linguist.",295.0
17.0,"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",
20.0,"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",37.0
,Ball however was elected to the Senate for the same seat in 1942.,355.0
,"Barry played at the University of Miami in the early-mid 1960s, where he lead the NCAA in scoring.",83.0
,"Barrymore was married to Welsh bartender turned bar owner, Jeremy Thomas, from March 20 to April 28, 1994, and to comedian Tom Green from July 7, 2001 to October 15, 2002 (Green filed for divorce in December 2001).",145.0
,Benjamin Everett Jordan (8 September 1896 - 15 March 1974) was a Democratic U.S. senator from the state of North Carolina between 1958 and 1973.,11.0
224.0,"Besides his film roles, he appeared on the television screen often later is his career.",
,"Between 1954 and 1956, Gail Davis starred as the Western sharpshooter, Annie Oakley in the Annie Oakley television series on the ABC network.",288.0
,"Billy Andrade (born January 25, 1964 Bristol, Rhode Island) is an American golfer.",181.0
,"Billy Andrade (born January 25, 1964 Bristol, Rhode Island) is an American golfer.",300.0
,"Born Anne Mobley in Omaha, Nebraska, she attended Bennington College and became interested in the theatre.",49.0
,"Born in Boston into one of the country's most prominent families (both his great-grandfather and his grandfather had been Presidents of the United States), Adams, after his graduation from Harvard in 1858, embarked on a Grand Tour of Europe, during which he also attended lectures in civil law at the University of Berlin.",115.0
,"Born in Los Angeles, California, he is the son of Italian-American actress Talia Shire and Jack Schwartzman, who is of Jewish descent.",337.0
,"Born to Jamaican immigrants, her father a welder, her mother a nurse, Abbott went to Harrow County Grammar School and then to Newnham College, Cambridge where she read history.",339.0
,"Brice Lalonde (born February 10, 1946) is a former socialist and Green Party leader in France, who ran for President of France in 1981.",16.0
,"Bush accepted a contract that paid $2 million dollars in stock over five years to work for Grace Semiconductor Manufacturing Corp., a firm backed by Jiang Mianheng, the son of former Chinese President Jiang Zemin.",285.0
,"Bush attended high school at the exclusive private St. Albans School in Washington, DC.",109.0
340.0,"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.",105.0
,"Bush began his oil industry career in 1979 when he established Arbusto Energy with Salem bin Laden, an oil and gas exploration company he financed with his education trust fund surplus and money from other investors.",375.0
334.0,"Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.",386.0
,"Bush is a Republican, and has Dick Cheney as his Vice President.",23.0
,Bush is a lifelong member of the Republican Party and was a businessman in both the oil and professional sports industries.,22.0
345.0,"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.",
45.0,Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.,
,Bush was elected to a second term in the 2004 election.,316.0
109.0,"But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.",
57.0,"By most accounts, Aristotle Onassis did not play a particularly significant role in young John's life.",
,"By most accounts, his early life was happy, and he lived as a part of the typical American family.",265.0
194.0,"By the 1964 election, Reagan was an outspoken supporter of conservative Republican Barry Goldwater.",
41.0,By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,
283.0,"Carlucci was deputy defense secretary from 1981 until 1986, national security advisor from 1986 until 1987, and defense secretary in 1987, following the resignation of Weinberger, his nomination by President Ronald Reagan and his confirmation in the Senate by a vote of 91 to 1.",
,"Carmine Coppola (born June 11, 1910 in New York City, died April 26, 1991 in Northridge, CA) was a composer, editor, musical director, and songwriter.",196.0
70.0,"Caroline Mathilde, retaining her title but not her children, eventually left Denmark in exile and passed her remaining days in neighbouring Celle.",
,"Carrie Fisher (born October 21, 1956) is an American actress, screenwriter and novelist.",343.0
,"Carroll is generally considered one of the best head coaches in the college ranks, as well as one of the sport's top recruiters.",66.0
179.0,"Catherine introduced, and made fashionable, the custom of drinking tea in England.",
,"Catherine of Braganza (25 November 1638 – 30 November 1705), or Catarina de Bragança was the queen consort of King Charles II of England.",137.0
,"Charles Francis Adams, Jr. (May 27, 1835 – May 20, 1915), a member of the prominent Adams political family and son of Charles Francis Adams, Sr., graduated at Harvard in 1856, and served on the Union side in the American Civil War, receiving in 1865 the brevet of brigadier-general in the regular army.",184.0
171.0,"Charles II married on May 3 or May 21, 1662, in Portsmouth, and her dowry brought Tangier and Bombay to British control.",
265.0,"Cheney was elected to represent Wyoming in the U.S. House of Representatives to replace Teno Roncalio, who had resigned from Congress.",
279.0,"Cheney's former chief of staff, Lewis Libby, is one of the main figures under investigation.",
60.0,"Christian VII (January 29, 1749–March 13, 1808), King of Denmark and Norway, Duke of Schleswig and Holstein.",
69.0,"Christian signed Struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, Sophie Magdalene of Brandenburg-Kulmbach, who had led the movement to have the marriage dissolved.",
,"Clampett worked for a time at Screen Gems as a writer and gagman, but in 1949, he turned his attentions to television where he created the famous puppet show Time for Beany.",238.0
,"Clara Blandick (born June 4, 1881 in Hong Kong; died April 15, 1962 in Hollywood, California) was a twentieth century American actress best known for her portrayl of Auntie Em in the 1939 film The Wizard of Oz.",227.0
,"Claude-Louis Navier (born Claude Louis Marie Henri Navier on February 10, 1785 in Dijon, died August 21, 1836 in Paris) was a French engineer and physicist.",325.0
,Clooney left AMC to run as a Democrat in the 2004 election for a seat in the House of Representatives representing Kentucky's 4th Congressional district.,18.0
79.0,Clooney was Ferrer's third wife.,
27.0,"Clooney's first recordings, in May of 1946 were for Columbia Records as a singer with the big band of Tony Pastor.",271.0
,"Cobain and Nirvana were highly influential, popularizing what came to be known as 'grunge music'.",261.0
158.0,Coltrane began playing music and practicing obsessively at about this time.,
,"Connop Thirlwall (January 11, 1797 - July 27, 1875) was an English bishop and historian.",346.0
189.0,"Considered the icon of American liberalism, Kennedy is the youngest person ever to be elected president of the country, at the age of 43.",
,"Coppola studied theatre at Hofstra University prior to studying film at UCLA and while there, he made numerous short films, including some soft core porn films.",45.0
,"Culbert Levy Olson (November 7, 1876 - April 13, 1962) was a U.S. politician.",333.0
,"Dame Elizabeth Taylor, DBE, (born February 27, 1932) is an Academy Award winning Anglo-American actress.",224.0
,"David Shire (born July 3, 1937 in Buffalo, New York) is an Jewish-American composer of film scores and Broadway musicals.",294.0
,De Forest went to Mount Hermon School and then enrolled at the Sheffield School of Science at Yale University in 1893.,93.0
,"Debbie Reynolds (born April 1, 1932) is an American actress and singer.",299.0
,"Debbie Reynolds (born April 1, 1932) is an American actress and singer.",178.0
173.0,"Despite Charles's reputation as a womaniser, Catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.",
,"Despite leaving the band for an acting career, he still composes music for some films.",369.0
,"Despite the poverty he grew up in, he managed to win a scholarship to the Laurinburg Institute in North Carolina.",74.0
,"Dewey officially remained an active officer of the Navy until his death, as a special honor after he passed retirement age.",153.0
,"Diane Julie Abbott (born September 27, 1953 in Paddington, London) is a British Labour Member of Parliament for Hackney North and Stoke Newington constituency.",38.0
295.0,"Doctors were able to save the arm, but the injury bothered him for many years.",
95.0,"Dole studied Law at KU, but his studies were interrupted by the start of World War II.",
90.0,"Dole took many odd-jobs around Russell as a boy, and would later work as a soda jerk in the local drug store.",
,"Donald Rumsfeld graduated from New Trier High School and attended Princeton University on scholarship (BA, 1954) where he was an accomplished amateur wrestler and served in the United States Navy (1954-57) as a Naval aviator.",89.0
,Dorothy attended Miss Porter's School and earned a B.A. from Boston College in 1982.,58.0
,"During her second year in law school, she volunteered at the Yale Child Study Center, learning about new research on early childhood brain development.",283.0
157.0,"During his seventh-grade school year, Coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.",
286.0,"During his time, he also befriended another actor named Grant Heslov, a close friend and frequent collaborator with Clooney who co-wrote Good Night, and Good Luck., and is the president of Clooney and director Steven Soderbergh's production company Section 8 Entertainment.",
105.0,"During the 1940s, Coppola worked under Arturo Toscanini with the NBC Symphony Orchestra.",243.0
,"During the summer of 1970, she was awarded a grant to work at the Children's Defense Fund in Cambridge, Massachusetts.",281.0
3.0,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",
190.0,"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",
312.0,"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",
,"Earling Carothers Garrison (November 20, 1921 - October 21, 1992) — who changed his first name to simply Jim in the early '60s — was District Attorney of New Orleans, Louisiana from 1962 to 1973; he is best known for his investigations into the assassination of President John F. Kennedy.",199.0
247.0,"Early in life, he developed an interest in politics and history, and, during the war years, a special admiration for Winston Churchill, whom he would later cite as an important influence.",
13.0,"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",
,"Edward George Bulwer-Lytton, 1st Baron Lytton (May 25, 1803–January 18, 1873) was an English novelist, playwright, and politician.",182.0
,"Elisha Archibald Manning III (born May 19, 1949) is an American former quarterback in professional American football.",195.0
,"Elisha Archibald Manning III (born May 19, 1949) is an American former quarterback in professional American football.",313.0
,"Elizabeth Taylor won the Academy Award for Best Actress in a Leading Role for her performances in BUtterfield 8 (1960), which co-starred then husband Eddie Fisher, and then again for Who's Afraid of Virginia Woolf?",159.0
,"Encke studied mathematics and astronomy from 1811 at the University of Göttingen under Carl Friedrich Gauss; but he enlisted in the Hanseatic Legion for the campaign of 1813–1814, and became lieutenant of artillery in the Prussian service in 1815.",99.0
178.0,"Erasmus Darwin (December 12, 1731 – April 18, 1802) trained as a physician and wrote extensively on medicine and botany, as well as poetry.",230.0
254.0,"Erdoğan played semi-professional football for 16 years and worked for Istanbul's municipal transport company, and became active in politics with the now-defunct Islamist National Salvation Party (Milli Selâmet Partisi), led by Necmettin Erbakan.",
,Erich Honecker (25 August 1912 - 29 May 1994) was a German Communist politician who led East Germany from 1971 until 1989.,28.0
48.0,"Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.",
78.0,"Ferrer also directed, but did not appear in, Return to Peyton Place in 1961 and also the re-make of State Fair in 1962.",
83.0,Ferrer also had a recurring role as Julia Duffy's insanely wealthy Waspy father on the popular Newhart television sitcom in the U.S. in the 1980s.,
33.0,"Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.",275.0
,"Finding law school tedious, however, Roosevelt found other diversions, including the completion of his first published book, The Naval War of 1812 (1882).",124.0
,"Fisher has had one husband, musician Paul Simon (married 1983-divorce 1984).",166.0
,"Fitzgerald was born in Boston, Massachusetts, the son of Irish immigrants.",321.0
175.0,"Following his death, Catherine remained in England through the reign of James II of England and returned to Portugal during the joint reign of William III and Mary II.",
,"Following his involvement there in a program to teach the analytical approaches used in business to officers of the Army Air Forces, he entered the Army as a captain in early 1943, serving under Col. Curtis LeMay with analysis of U.S. bombers' efficiency and effectiveness as a major responsibility.",215.0
332.0,"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.",
,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.",370.0
170.0,"Following the restoration of Portuguese independence from Spain, and her father's accession to the throne on December 1, 1640, Catherine was engaged to Charles II.",
234.0,"Following this he returned to Philadelphia in 1726 with the help of a merchant named Thomas Denham, who gave Franklin a position as clerk, shopkeeper and bookkeeper in Denham's merchant business.",
130.0,"For a time in the summer of 1823, his expedition was joined by Italian explorer Giacomo Beltrami.",
225.0,"For his contribution to the television industry, J. Carrol Naish has a star on the Hollywood Walk of Fame at 6145 Hollywood Blvd.",
7.0,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",
4.0,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",
144.0,"Four months later, he was killed by a German sniper in World War II.",
,"Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.",7.0
,"Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.",21.0
301.0,"Frank J. Howard (March 25, 1909 - January 26, 1996) was an American college football player and coach.",338.0
72.0,"Franklin James Schaffner (May 30, 1920 – July 2, 1989) was an American film director.",185.0
,"Friedrich Wilhelm Bessel (July 22, 1784 – March 17, 1846) was a German mathematician, astronomer, and systematizer of the Bessel functions (which, despite their name, were discovered by Daniel Bernoulli).",290.0
,"From 1993 to 2002, she was married to actor Alec Baldwin, with whom she later engaged in a long legal custody battle regarding their child.",143.0
,"Garrett Birkhoff (January 19, 1911 - November 22, 1996) was an American mathematician who was born in Princeton, New Jersey, USA and died on November 22,1996 in Water Mill, New York, USA.",347.0
,"Generally regarded as a member of the moderate New Democrat wing of the Democratic Party, he headed the centrist Democratic Leadership Council in 1990 and 1991.",17.0
322.0,"George David Birkhoff (21 March 1884 - 12 November 1944) was an American mathematician, and one of the most important leaders in mathematics in the USA in his generation.",291.0
266.0,"George W. Bush in March or April, 2005, to be General Counsel of the Department of Homeland Security.",
,"Georges Jean Raymond Pompidou (July 5, 1911 – April 2, 1974) was President of France from 1969 until his death in 1974.",188.0
,"Godfrey Lionel Rampling (born May 14, 1909) is a former British athlete and army officer, winner of gold medal in 4x100 m relay at the 1936 Summer Olympics.",329.0
337.0,"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.",
,"Grace Anna Goodhue Coolidge (January 3, 1879 – July 8, 1957) was wife of Calvin Coolidge and First Lady of the United States from 1923 to 1929.",163.0
,"Grace Anna Goodhue Coolidge (January 3, 1879 – July 8, 1957) was wife of Calvin Coolidge and First Lady of the United States from 1923 to 1929.",228.0
186.0,"Grant drank distilled liquor and, during the American Civil War, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.",
150.0,Groucho did a German accent.,
156.0,HCC is a publicly traded insurance company on the New York Stock Exchange.,
,"HRH Prince Pavle of Yugoslavia (April 27, 1893, Saint Petersburg, Russia – September 11, 1976, Paris, France) of the Royal House of Karadjordjevic was regent of Yugoslavia for his nephew, His Majesty King Peter II.",210.0
182.0,"Hamer erroneously nominated him as Ulysses Simpson Grant, and although Grant protested the change, it was difficult to resist the bureaucracy.",
,Hanks has been married to actress Rita Wilson since 1988.,118.0
,"Hanks is a Democrat and has supported many candidates, including Hilary Clinton, Diane Feinstein, Al Gore, and John Kerry.",32.0
,"Harken reported significant financial losses within a year of this sale, triggering allegations of insider trading.",322.0
,"Hasso-Eccard Freiherr von Manteuffel (January 14, 1897 — September 24, 1978) was a German General during World War II.",335.0
,He acquired his early education in Europe at venerable institutions such as the University of Leiden while accompanying his father while the elder Adams was serving as an American envoy to France and later the Netherlands during the Revolutionary War.,106.0
,He also created the Defense Intelligence Agency and the Defense Supply Agency.,384.0
292.0,He also got to dance and sing as well and held his own against the other cast.,
84.0,He also had a memorable recurring role as elegant and flamboyant attorney Reuben Marino on the soap opera Another World in the early 1980s.,
223.0,He also played for the New Haven Eagles and Bronx Tigers of the Canadian-American Hockey League.,
91.0,"He also ran unsuccessfully for the Republican Presidential nomination in 1980 and made a more serious bid for the Republican presidential nomination in 1988, losing to then-Vice President George H.W. Bush.",
118.0,He and his wife had seven children.,
74.0,"He appeared in 1953's Miss Sadie Thompson opposite Rita Hayworth, in 1954's The Caine Mutiny and the MGM musical Deep in My Heart.",
,"He arrived at the mouth of the bay late the night of April 30, and the following morning he gave the order to attack at first light, by saying the now famous words 'You may fire when ready, Gridley'.",162.0
,"He arrived in Western Australia in October 1880 and immediately took up an appointment to the position of Colonial Secretary, and a nomination to the Western Australian Legislative Council.",173.0
,He attained the rank of lieutenant commander in 1865.,180.0
,"He attended Florida State Normal and Industrial College and received an LLB from Stetson University, after which he enlisted in the Marine Corps.",108.0
,"He attended Harvard Law School, but left before his final year to volunteer as a United States Navy flier.",68.0
,He attended Wake Forest University.,65.0
,"He attended secondary school (Volksschule), and learned the trade of a joiner.",376.0
155.0,He became a banker in Boston and was active in the local Democratic Party.,223.0
65.0,"He became submissive to upstart Johann Friedrich Struensee, who rose steadily in power in the late 1760s.",
,"He briefly worked for the FBI, then went into private law practice.",246.0
52.0,"He coached at Winston-Salem State University from 1946 to 1993, compiling a 828-447 record.",236.0
272.0,"He decided after three semesters to take some time off from Yale, on account of difficulty with his studies.",
43.0,"He died in Springport, New York in 1815.",
122.0,"He died, however, aboard ship and was given a sea burial.",351.0
,"He directed the preparation of the star-maps of the Berlin Academy (1830–1859), edited from 1830 and greatly improved the Astronomisches Jahrbuch, and issued four volumes of the Astronomische Beobachtungen of the Berlin observatory (1840–1857).",278.0
,"He enrolled at Harvard Medical School for one year, but withdrew following the death of his father in 1881.",87.0
245.0,"He entered the U.S. Army as a private in 1941, was commissioned, and served in the Pacific theater.",
86.0,He flew a P-38 Lightning in the North African campaign of November 1942.,
,"He founded the University of Chicago in 1890, the Rockefeller Institute for Medical Research (now Rockefeller University) in New York City in 1901, the General Education Board in 1902, the Rockefeller Foundation in 1913, and the Laura Spelman Rockefeller Memorial in 1918, as well as giving large gifts to other institutions.",359.0
,"He graduated Phi Beta Kappa and magna cum laude (21st of 177) from Harvard University in 1880, and entered Columbia Law School that same year.",62.0
167.0,"He graduated and practiced law in a small firm which folded, then moved on to the firm of Rosenman, Colin, Kaye, Petschek and Freund, which had CBS Records as a client.",
,He graduated from Harvard University in 1787 and was elected to Phi Beta Kappa.,107.0
184.0,"He graduated from West Point in 1843, ranking 21st in a class of 39.",15.0
,He graduated from the U.S. Military Academy in 1847 and was commissioned a second lieutenant in the 4th U.S. Artillery.,221.0
,"He graduated in 1937 from the University of California, Berkeley with a degree in economics and philosophy, and earned a master's degree from the Harvard Graduate School of Business Administration in 1939.",84.0
58.0,He graduated in 1983 with a bachelor's degree in history.,
99.0,He guest-starred as himself on NBC's Brooke Shields sitcom Suddenly Susan in January 1997 (shortly after losing the presidential election).,
,He had been educated at Oxford and his closest friends and outlook on life were British.,80.0
,He had been the 25th Vice President before becoming President upon the assassination of President William McKinley.,177.0
,He has also been active in the Defense Policy Board of the Pentagon while it was chaired by Richard Perle.,251.0
,"He has also, at various times in his career, held positions with the American Bar Association, on the board of the RAND Corporation, at the Department of Defense, and as a legal advisor with the United States House of Representatives.",249.0
,He has been described as the archetype of the 'Renaissance man' and as a universal genius.,175.0
,He has consulted for the defense contractor Northrop Grumman.,250.0
143.0,"He has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.",
330.0,"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.",
162.0,He is a sharp shooter from the three point range and also a very accurate free throw shooter.,
,"He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.",8.0
116.0,He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,
40.0,"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",
258.0,He is currently the 46th Vice President of the United States under President George W. Bush.,
,"He is from Midland, Texas, and has a ranch there.",282.0
,"He is in the Gaullist political family, currently a member of the UMP.",12.0
24.0,"He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.",
154.0,He is named for his maternal grandfather.,
16.0,He is of three quarters Irish and one quarter French descent.,334.0
97.0,He is of three quarters Irish and one quarter French descent.,334.0
253.0,"He is the leader of the Adalet ve Kalkinma Partisi (AK Party, or Justice and Development Party).",
328.0,"He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.",242.0
,He later served as the Governor of Massachusetts.,202.0
,He left active duty three years later with the rank of lieutenant colonel.,216.0
244.0,He left his apprenticeship without permission and in so doing became a fugitive.,
117.0,"He left home during the War of 1812 amd married in Rochester on November 8, 1821, Harriet Smith the daughter of Dr. Sanford Smith and Priscilla Whipple Smith.",
,"He lost re-election to Clinton in 1982, and he ran for the governorship again in 1986 but was again defeated by Clinton.",293.0
288.0,"He made his debut as a film director in the 2002 feature Confessions of a Dangerous Mind, an adaptation of the implausible autobiography of groundbreaking TV producer Chuck Barris.",
,"He married Margaret Tyndal Winthrop, who came from a family with deep roots in Massachusetts history going back to the John Winthrop, the first governor of the Massachusetts Bay Colony.",121.0
321.0,"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",
160.0,"He passed away from liver disease in his home in Dix Hills, New York.",
,"He passed the exam in 1875 and entered as a freshman the next year, in 1876.",139.0
